year,age,sex,college,partyid,hompop,hours,income,class,finrela,weight
2010,41,female,degree,ind,3,36,lt $1000,working class,below average,0.92625536837987
1990,44,female,no degree,dem,1,40,$20000 - 24999,middle class,below average,0.5313
1993,54,male,no degree,dem,5,48,$25000 or more,working class,average,2.1142
1976,42,male,no degree,ind,1,40,$15000 - 19999,working class,above average,0.4854
2014,46,male,degree,dem,2,40,$25000 or more,middle class,average,0.896003385656687
2006,39,female,no degree,ind,3,30,$10000 - 14999,working class,below average,0.4297
1974,25,female,no degree,ind,2,40,$8000 to 9999,working class,average,0.932
1986,48,female,degree,ind,3,63,$20000 - 24999,working class,average,1.5108
2000,27,female,degree,ind,2,40,$25000 or more,middle class,below average,1.0985
2016,68,male,no degree,ind,1,30,$20000 - 24999,working class,average,0.782181681487619
1998,37,female,no degree,dem,2,40,$25000 or more,middle class,average,0.5501
2006,82,male,no degree,ind,2,89,$25000 or more,middle class,above average,1.9096
2006,26,female,degree,ind,3,55,$25000 or more,working class,average,1.289
1994,19,male,no degree,ind,2,6,$25000 or more,middle class,average,1.0825
1983,27,male,no degree,ind,4,40,$20000 - 24999,working class,average,1.0116
1986,49,male,degree,ind,3,50,$25000 or more,upper class,above average,1.0072
1991,38,female,no degree,dem,5,64,$10000 - 14999,working class,below average,1.5932
1990,37,female,degree,ind,1,10,$6000 to 6999,lower class,far below average,0.5313
1996,36,male,no degree,rep,4,45,$25000 or more,working class,average,1.0864
2016,20,male,no degree,rep,6,40,$25000 or more,working class,average,2.3924837787261
1991,43,male,no degree,rep,1,40,$25000 or more,middle class,average,0.5311
1984,60,male,no degree,rep,2,40,$20000 - 24999,middle class,above average,1.0331
2000,22,male,no degree,ind,2,15,$4000 to 4999,middle class,average,1.0985
1990,43,male,degree,dem,4,45,$25000 or more,upper class,far below average,1.0627
2006,37,female,degree,dem,4,75,$25000 or more,middle class,above average,0.8977
1994,49,female,degree,ind,2,38,$25000 or more,middle class,average,1.0825
1980,26,male,no degree,ind,3,75,$20000 - 24999,working class,average,1.0225
1994,25,male,no degree,dem,1,8,$10000 - 14999,middle class,above average,0.5412
1976,36,female,degree,dem,3,40,$10000 - 14999,working class,average,0.9709
1987,38,female,degree,ind,6,12,$25000 or more,working class,below average,1.0104
2004,34,male,no degree,rep,4,55,$25000 or more,middle class,above average,0.9184
1991,44,female,no degree,dem,2,10,$1000 to 2999,middle class,far below average,0.5311
1978,26,male,no degree,dem,2,40,$4000 to 4999,working class,below average,1.0127
2012,25,male,degree,ind,6,55,$25000 or more,middle class,average,5.24392572600092
1988,22,male,no degree,dem,4,40,$25000 or more,middle class,below average,1.0627
1991,32,female,degree,dem,1,40,$25000 or more,upper class,above average,0.5311
1976,29,female,no degree,ind,2,43,$15000 - 19999,working class,average,0.9709
1987,38,female,no degree,ind,4,35,$25000 or more,working class,average,1.5155
2006,71,female,degree,rep,1,18,$25000 or more,middle class,below average,0.4297
1991,35,male,degree,dem,4,48,$15000 - 19999,working class,average,1.0621
2010,57,male,degree,rep,3,60,$25000 or more,middle class,above average,0.92625536837987
2010,51,female,degree,rep,4,60,$25000 or more,middle class,far above average,1.3893830525698
1991,39,female,no degree,dem,4,40,$25000 or more,middle class,above average,1.0621
1996,33,male,no degree,ind,4,45,$25000 or more,working class,average,1.0864
2004,35,male,no degree,rep,2,40,$25000 or more,working class,below average,0.9184
1996,55,female,no degree,dem,2,44,$25000 or more,working class,average,0.5432
2002,47,female,degree,rep,3,40,$25000 or more,middle class,above average,1.1156
1986,21,male,no degree,rep,3,40,$25000 or more,middle class,above average,1.5108
1988,40,male,no degree,dem,5,50,$25000 or more,working class,below average,1.594
1990,36,female,no degree,ind,4,56,$25000 or more,middle class,above average,1.0627
2018,66,male,degree,ind,4,50,$25000 or more,middle class,above average,1.41449566447986
2000,28,female,no degree,rep,1,55,$15000 - 19999,working class,below average,0.5493
1978,51,male,no degree,ind,1,20,$20000 - 24999,middle class,above average,0.5063
1996,50,female,degree,ind,4,40,$25000 or more,working class,average,1.6295
2010,60,male,degree,ind,2,45,$25000 or more,working class,average,0.92625536837987
2014,22,male,no degree,ind,4,35,$25000 or more,working class,below average,1.79200677131337
2014,52,male,no degree,ind,2,40,$25000 or more,middle class,above average,0.896003385656687
1977,53,male,no degree,rep,3,40,$10000 - 14999,middle class,average,0.9881
1998,45,male,degree,rep,1,50,$25000 or more,middle class,average,0.5501
1986,21,female,no degree,ind,2,40,$10000 - 14999,middle class,average,1.0072
1996,22,female,no degree,ind,2,48,$25000 or more,working class,average,1.0864
1988,30,female,no degree,dem,3,50,$10000 - 14999,working class,average,1.0627
1996,29,female,no degree,ind,2,65,$25000 or more,working class,below average,1.0864
1996,21,male,no degree,dem,1,46,$25000 or more,working class,below average,0.5432
2010,42,male,degree,rep,2,40,$25000 or more,working class,average,0.92625536837987
2014,33,female,no degree,ind,4,16,$25000 or more,working class,below average,1.34400507848503
2002,31,female,no degree,dem,2,35,$25000 or more,working class,average,1.1156
1996,54,male,degree,rep,3,40,$25000 or more,middle class,above average,1.6295
1978,27,male,degree,ind,4,75,$20000 - 24999,middle class,average,1.0127
2004,51,male,degree,rep,2,50,$25000 or more,middle class,average,0.9617
2018,27,male,degree,ind,2,40,$25000 or more,working class,average,0.94299710965324
1990,43,female,no degree,ind,4,22,$25000 or more,working class,below average,2.1254
1991,27,female,degree,rep,1,50,$25000 or more,middle class,average,0.5311
1974,23,male,no degree,rep,3,40,$10000 - 14999,working class,average,0.932
2006,29,male,degree,ind,2,40,$25000 or more,middle class,average,0.8593
2004,48,male,no degree,rep,4,89,$25000 or more,middle class,above average,0.9184
2014,44,male,degree,rep,1,40,$25000 or more,middle class,above average,0.690295366453534
1994,27,male,degree,other,2,43,$25000 or more,middle class,average,1.0825
2010,30,male,no degree,rep,3,45,$25000 or more,working class,below average,1.68410066978158
1982,31,female,no degree,dem,4,40,$20000 - 24999,working class,average,1.0319
1991,38,male,no degree,ind,5,40,$25000 or more,working class,average,1.0621
1991,38,male,no degree,ind,6,48,$1000 to 2999,working class,below average,2.1243
2000,48,male,degree,ind,1,40,$25000 or more,upper class,far above average,0.5493
1996,49,female,degree,dem,3,60,$25000 or more,working class,average,1.0864
2010,23,female,no degree,rep,2,45,$25000 or more,working class,below average,1.68410066978158
2006,50,female,no degree,ind,3,40,$25000 or more,working class,average,1.289
1978,28,female,no degree,dem,5,40,$5000 to 5999,working class,below average,1.0127
1990,28,female,degree,dem,2,5,$25000 or more,middle class,average,1.0627
2016,28,female,no degree,ind,2,60,$25000 or more,working class,average,0.956993511490439
1994,40,male,degree,rep,5,70,$25000 or more,middle class,below average,1.0825
1984,27,male,no degree,rep,3,50,$15000 - 19999,middle class,average,1.0331
1986,41,female,no degree,dem,6,40,$6000 to 6999,working class,below average,1.0072
2008,23,male,degree,dem,1,60,$15000 - 19999,working class,below average,0.437744751369553
2008,47,female,degree,ind,1,37,$25000 or more,middle class,above average,0.437744751369553
2006,25,male,no degree,ind,3,5,$15000 - 19999,working class,far below average,2.8644
1976,62,male,no degree,rep,3,40,$10000 - 14999,middle class,average,1.4563
1991,34,male,no degree,dem,1,24,$20000 - 24999,middle class,average,0.5311
1996,59,female,no degree,dem,2,40,$25000 or more,working class,DK,1.0864
1977,58,male,no degree,dem,3,80,$25000 or more,middle class,above average,0.9881
2002,37,male,degree,ind,2,60,$25000 or more,middle class,above average,1.1156
1994,59,female,no degree,dem,2,36,$25000 or more,middle class,average,1.0825
1996,28,male,no degree,rep,2,50,$20000 - 24999,working class,above average,1.0864
2014,22,female,no degree,dem,1,25,$25000 or more,working class,below average,0.448001692828344
1980,27,male,degree,dem,2,40,$25000 or more,working class,above average,1.0225
1988,44,male,no degree,dem,4,30,$15000 - 19999,working class,average,1.0627
1990,41,female,no degree,ind,2,38,$25000 or more,middle class,below average,1.0627
1989,44,female,degree,dem,5,50,$25000 or more,middle class,above average,1.0215
2018,37,male,degree,ind,4,40,$25000 or more,working class,above average,0.94299710965324
2010,32,female,no degree,ind,3,57,$15000 - 19999,working class,below average,0.463127684189935
2008,28,male,no degree,dem,3,40,$25000 or more,working class,average,1.31323425410866
1973,69,female,no degree,ind,1,40,$6000 to 6999,middle class,average,0.4572
1974,22,male,no degree,other,2,50,$10000 - 14999,working class,average,0.932
2014,37,male,degree,dem,4,36,$20000 - 24999,working class,below average,1.79200677131337
1998,45,female,no degree,ind,4,80,$25000 or more,middle class,above average,1.6502
1998,49,female,degree,rep,4,55,$25000 or more,middle class,above average,1.1001
1978,58,male,no degree,dem,1,40,$10000 - 14999,working class,above average,0.5063
2002,28,female,degree,dem,2,64,$25000 or more,upper class,above average,1.1156
1976,43,male,no degree,dem,4,45,$20000 - 24999,working class,average,0.9709
2004,30,male,degree,ind,1,40,$25000 or more,working class,average,0.9184
1982,37,male,no degree,ind,1,40,$25000 or more,middle class,above average,0.5159
2000,26,female,degree,ind,2,25,$8000 to 9999,working class,below average,1.0985
2002,51,male,degree,rep,4,89,$25000 or more,working class,average,1.1156
2002,27,male,no degree,dem,1,40,$25000 or more,working class,below average,0.5578
1987,40,female,no degree,dem,4,40,$6000 to 6999,working class,below average,1.0104
2000,31,male,no degree,dem,10,40,$25000 or more,working class,average,2.7463
2006,22,male,no degree,ind,2,15,$15000 - 19999,working class,average,0.8593
2006,23,female,degree,ind,2,23,$25000 or more,working class,average,0.8593
1977,22,female,no degree,ind,2,48,$25000 or more,middle class,above average,0.9881
1998,32,male,no degree,rep,3,55,$25000 or more,middle class,average,1.1001
1996,32,female,no degree,ind,1,27,$10000 - 14999,working class,below average,0.5432
1998,34,male,degree,rep,3,52,$25000 or more,middle class,above average,1.1001
2000,49,male,degree,dem,1,40,$25000 or more,middle class,average,0.5493
1996,48,male,degree,rep,4,40,$25000 or more,working class,above average,1.0864
1986,31,male,no degree,dem,4,41,$10000 - 14999,middle class,below average,1.0072
